Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0100453	l3-1	0	10	LastDelay	0.00866399	8663.99	1	3
0.0100453	l3-1	0	10	FullDelay	0.00866399	8663.99	1	3
0.0111372	l3-1	0	3	LastDelay	0.00866399	8663.99	1	3
0.0111372	l3-1	0	3	FullDelay	0.00866399	8663.99	1	3
0.011714	l3-1	0	3	LastDelay	0	0	1	0
0.011714	l3-1	0	3	FullDelay	0	0	1	0
0.0140536	l3-1	0	2	LastDelay	0.00866399	8663.99	1	3
0.0140536	l3-1	0	2	FullDelay	0.00866399	8663.99	1	3
0.0181406	l3-1	0	65	LastDelay	0.00866399	8663.99	1	3
0.0181406	l3-1	0	65	FullDelay	0.00866399	8663.99	1	3
0.0207186	l3-1	0	17	LastDelay	0.00866399	8663.99	1	3
0.0207186	l3-1	0	17	FullDelay	0.00866399	8663.99	1	3
0.0221697	l3-1	0	13	LastDelay	0.000670598	670.598	1	3
0.0221697	l3-1	0	13	FullDelay	0.00866399	8663.99	2	3
0.0229391	l3-1	0	13	LastDelay	0	0	1	0
0.0229391	l3-1	0	13	FullDelay	0	0	1	0
0.0258655	l3-1	0	11	LastDelay	0.00866399	8663.99	1	3
0.0258655	l3-1	0	11	FullDelay	0.00866399	8663.99	1	3
0.0275511	l3-1	0	14	LastDelay	0.00866399	8663.99	1	3
0.0275511	l3-1	0	14	FullDelay	0.00866399	8663.99	1	3
0.0355565	l3-1	0	88	LastDelay	0.00866399	8663.99	1	3
0.0355565	l3-1	0	88	FullDelay	0.00866399	8663.99	1	3
0.0371289	l3-1	0	8	LastDelay	0.00866399	8663.99	1	3
0.0371289	l3-1	0	8	FullDelay	0.00866399	8663.99	1	3
0.0408397	l3-1	0	76	LastDelay	0.00866399	8663.99	1	3
0.0408397	l3-1	0	76	FullDelay	0.00866399	8663.99	1	3
0.0432941	l3-1	0	2	LastDelay	0	0	1	0
0.0432941	l3-1	0	2	FullDelay	0	0	1	0
0.044726	l3-1	0	33	LastDelay	0.00866399	8663.99	1	3
0.044726	l3-1	0	33	FullDelay	0.00866399	8663.99	1	3
0.0505906	l3-1	0	39	LastDelay	0.00866399	8663.99	1	3
0.0505906	l3-1	0	39	FullDelay	0.00866399	8663.99	1	3
0.0527662	l3-1	0	51	LastDelay	0.00866399	8663.99	1	3
0.0527662	l3-1	0	51	FullDelay	0.00866399	8663.99	1	3
0.0536254	l3-1	0	60	LastDelay	0.00945969	9459.68	1	3
0.0536254	l3-1	0	60	FullDelay	0.00945969	9459.68	1	3
0.0544846	l3-1	0	23	LastDelay	0.00963628	9636.28	1	3
0.0544846	l3-1	0	23	FullDelay	0.00963628	9636.28	1	3
0.0553438	l3-1	0	85	LastDelay	0.00884699	8846.99	1	3
0.0553438	l3-1	0	85	FullDelay	0.00884699	8846.99	1	3
0.0642006	l3-1	0	68	LastDelay	0.00866399	8663.99	1	3
0.0642006	l3-1	0	68	FullDelay	0.00866399	8663.99	1	3
0.0696966	l3-1	0	65	LastDelay	0	0	1	0
0.0696966	l3-1	0	65	FullDelay	0	0	1	0
0.0699647	l3-1	0	6	LastDelay	0.00866399	8663.99	1	3
0.0699647	l3-1	0	6	FullDelay	0.00866399	8663.99	1	3
0.0752447	l3-1	0	71	LastDelay	0.00866399	8663.99	1	3
0.0752447	l3-1	0	71	FullDelay	0.00866399	8663.99	1	3
0.0778306	l3-1	0	3	LastDelay	0	0	1	0
0.0778306	l3-1	0	3	FullDelay	0	0	1	0
0.0828648	l3-1	0	2	LastDelay	0	0	1	0
0.0828648	l3-1	0	2	FullDelay	0	0	1	0
0.0836881	l3-1	0	2	LastDelay	0	0	1	0
0.0836881	l3-1	0	2	FullDelay	0	0	1	0
0.084096	l3-1	0	1	LastDelay	0.00490433	4904.32	1	3
0.084096	l3-1	0	1	FullDelay	0.00866399	8663.99	2	3
0.0852521	l3-1	0	4	LastDelay	0.00866399	8663.99	1	3
0.0852521	l3-1	0	4	FullDelay	0.00866399	8663.99	1	3
0.0884718	l3-1	0	3	LastDelay	0	0	1	0
0.0884718	l3-1	0	3	FullDelay	0	0	1	0
0.0927661	l3-1	0	2	LastDelay	0	0	1	0
0.0927661	l3-1	0	2	FullDelay	0	0	1	0
0.0932458	l3-1	0	85	LastDelay	0	0	1	0
0.0932458	l3-1	0	85	FullDelay	0	0	1	0
0.0956442	l3-1	0	17	LastDelay	0	0	1	0
0.0956442	l3-1	0	17	FullDelay	0	0	1	0
0.0960782	l3-1	0	2	LastDelay	0	0	1	0
0.0960782	l3-1	0	2	FullDelay	0	0	1	0
0.0992691	l3-1	0	42	LastDelay	0.00866399	8663.99	1	3
0.0992691	l3-1	0	42	FullDelay	0.00866399	8663.99	1	3
0.106764	l3-1	0	88	LastDelay	0	0	1	0
0.106764	l3-1	0	88	FullDelay	0	0	1	0
0.107952	l3-1	0	71	LastDelay	0	0	1	0
0.107952	l3-1	0	71	FullDelay	0	0	1	0
0.108664	l3-2	0	45	LastDelay	0.00866399	8663.99	1	3
0.108664	l3-2	0	45	FullDelay	0.00866399	8663.99	1	3
0.10933	l3-1	0	13	LastDelay	0	0	1	0
0.10933	l3-1	0	13	FullDelay	0	0	1	0
0.111568	l3-1	0	45	LastDelay	0.002888	2888	1	1
0.111568	l3-1	0	45	FullDelay	0.002888	2888	1	1
0.114696	l3-1	0	5	LastDelay	0.00866399	8663.99	1	3
0.114696	l3-1	0	5	FullDelay	0.00866399	8663.99	1	3
