Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	root	1	internal://	InInterests	0	0	0	0
1	root	1	internal://	OutInterests	0	0	0	0
1	root	1	internal://	InData	0	0	0	0
1	root	1	internal://	OutData	0	0	0	0
1	root	1	internal://	InNacks	0	0	0	0
1	root	1	internal://	OutNacks	0	0	0	0
1	root	1	internal://	InSatisfiedInterests	0	0	0	0
1	root	1	internal://	InTimedOutInterests	0	0	0	0
1	root	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	root	1	internal://	OutTimedOutInterests	0	0	0	0
1	root	2	internal://	InInterests	0	0	0	0
1	root	2	internal://	OutInterests	0	0	0	0
1	root	2	internal://	InData	0	0	0	0
1	root	2	internal://	OutData	0	0	0	0
1	root	2	internal://	InNacks	0	0	0	0
1	root	2	internal://	OutNacks	0	0	0	0
1	root	2	internal://	InSatisfiedInterests	0.8	0	1	0
1	root	2	internal://	InTimedOutInterests	0	0	0	0
1	root	2	internal://	OutSatisfiedInterests	0	0	0	0
1	root	2	internal://	OutTimedOutInterests	0	0	0	0
1	root	256	internal://	InInterests	0	0	0	0
1	root	256	internal://	OutInterests	0	0	0	0
1	root	256	internal://	InData	0	0	0	0
1	root	256	internal://	OutData	0	0	0	0
1	root	256	internal://	InNacks	0	0	0	0
1	root	256	internal://	OutNacks	0	0	0	0
1	root	256	internal://	InSatisfiedInterests	0.8	0	1	0
1	root	256	internal://	InTimedOutInterests	0	0	0	0
1	root	256	internal://	OutSatisfiedInterests	0	0	0	0
1	root	256	internal://	OutTimedOutInterests	0	0	0	0
1	root	257	netdev://[00:00:00:00:00:01]	InInterests	80	1.5625	100	1.95312
1	root	257	netdev://[00:00:00:00:00:01]	OutInterests	0	0	0	0
1	root	257	netdev://[00:00:00:00:00:01]	InData	0	0	0	0
1	root	257	netdev://[00:00:00:00:00:01]	OutData	80	82.3438	100	102.93
1	root	257	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
1	root	257	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
1	root	257	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	75.2	0	94	0
1	root	257	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
1	root	257	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	0	0	0	0
1	root	257	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
1	root	258	netdev://[00:00:00:00:00:03]	InInterests	77.6	1.51562	97	1.89453
1	root	258	netdev://[00:00:00:00:00:03]	OutInterests	0	0	0	0
1	root	258	netdev://[00:00:00:00:00:03]	InData	0	0	0	0
1	root	258	netdev://[00:00:00:00:00:03]	OutData	77.6	79.8734	97	99.8418
1	root	258	netdev://[00:00:00:00:00:03]	InNacks	0	0	0	0
1	root	258	netdev://[00:00:00:00:00:03]	OutNacks	0	0	0	0
1	root	258	netdev://[00:00:00:00:00:03]	InSatisfiedInterests	4.8	0	6	0
1	root	258	netdev://[00:00:00:00:00:03]	InTimedOutInterests	0	0	0	0
1	root	258	netdev://[00:00:00:00:00:03]	OutSatisfiedInterests	0	0	0	0
1	root	258	netdev://[00:00:00:00:00:03]	OutTimedOutInterests	0	0	0	0
1	root	259	appFace://	InInterests	0	0	0	0
1	root	259	appFace://	OutInterests	80	1.5625	100	1.95312
1	root	259	appFace://	InData	80	82.3438	100	102.93
1	root	259	appFace://	OutData	0	0	0	0
1	root	259	appFace://	InNacks	0	0	0	0
1	root	259	appFace://	OutNacks	0	0	0	0
1	root	259	appFace://	InSatisfiedInterests	0	0	0	0
1	root	259	appFace://	InTimedOutInterests	0	0	0	0
1	root	259	appFace://	OutSatisfiedInterests	80	0	100	0
1	root	259	appFace://	OutTimedOutInterests	0	0	0	0
1	root	-1	all	SatisfiedInterests	159.2	0	199	0
1	root	-1	all	TimedOutInterests	0	0	0	0
1	l1-1	1	internal://	InInterests	0	0	0	0
1	l1-1	1	internal://	OutInterests	0	0	0	0
1	l1-1	1	internal://	InData	0	0	0	0
1	l1-1	1	internal://	OutData	0	0	0	0
1	l1-1	1	internal://	InNacks	0	0	0	0
1	l1-1	1	internal://	OutNacks	0	0	0	0
1	l1-1	1	internal://	InSatisfiedInterests	0	0	0	0
1	l1-1	1	internal://	InTimedOutInterests	0	0	0	0
1	l1-1	1	internal://	OutSatisfiedInterests	0.8	0	1	0
1	l1-1	1	internal://	OutTimedOutInterests	0	0	0	0
1	l1-1	2	internal://	InInterests	0	0	0	0
1	l1-1	2	internal://	OutInterests	0	0	0	0
1	l1-1	2	internal://	InData	0	0	0	0
1	l1-1	2	internal://	OutData	0	0	0	0
1	l1-1	2	internal://	InNacks	0	0	0	0
1	l1-1	2	internal://	OutNacks	0	0	0	0
1	l1-1	2	internal://	InSatisfiedInterests	0.8	0	1	0
1	l1-1	2	internal://	InTimedOutInterests	0	0	0	0
1	l1-1	2	internal://	OutSatisfiedInterests	0	0	0	0
1	l1-1	2	internal://	OutTimedOutInterests	0	0	0	0
1	l1-1	257	netdev://[00:00:00:00:00:02]	InInterests	0	0	0	0
1	l1-1	257	netdev://[00:00:00:00:00:02]	OutInterests	80	1.5625	100	1.95312
1	l1-1	257	netdev://[00:00:00:00:00:02]	InData	80	82.3438	100	102.93
1	l1-1	257	netdev://[00:00:00:00:00:02]	OutData	0	0	0	0
1	l1-1	257	netdev://[00:00:00:00:00:02]	InNacks	0	0	0	0
1	l1-1	257	netdev://[00:00:00:00:00:02]	OutNacks	0	0	0	0
1	l1-1	257	netdev://[00:00:00:00:00:02]	InSatisfiedInterests	0	0	0	0
1	l1-1	257	netdev://[00:00:00:00:00:02]	InTimedOutInterests	0	0	0	0
1	l1-1	257	netdev://[00:00:00:00:00:02]	OutSatisfiedInterests	80	0	100	0
1	l1-1	257	netdev://[00:00:00:00:00:02]	OutTimedOutInterests	0	0	0	0
1	l1-1	258	netdev://[00:00:00:00:00:05]	InInterests	87.2	1.70312	109	2.12891
1	l1-1	258	netdev://[00:00:00:00:00:05]	OutInterests	0	0	0	0
1	l1-1	258	netdev://[00:00:00:00:00:05]	InData	0	0	0	0
1	l1-1	258	netdev://[00:00:00:00:00:05]	OutData	87.2	89.7547	109	112.193
1	l1-1	258	netdev://[00:00:00:00:00:05]	InNacks	0	0	0	0
1	l1-1	258	netdev://[00:00:00:00:00:05]	OutNacks	0	0	0	0
1	l1-1	258	netdev://[00:00:00:00:00:05]	InSatisfiedInterests	64.8	0	81	0
1	l1-1	258	netdev://[00:00:00:00:00:05]	InTimedOutInterests	0	0	0	0
1	l1-1	258	netdev://[00:00:00:00:00:05]	OutSatisfiedInterests	0	0	0	0
1	l1-1	258	netdev://[00:00:00:00:00:05]	OutTimedOutInterests	0	0	0	0
1	l1-1	259	netdev://[00:00:00:00:00:07]	InInterests	80.8	1.57812	101	1.97266
1	l1-1	259	netdev://[00:00:00:00:00:07]	OutInterests	0	0	0	0
1	l1-1	259	netdev://[00:00:00:00:00:07]	InData	0	0	0	0
1	l1-1	259	netdev://[00:00:00:00:00:07]	OutData	80.8	83.1672	101	103.959
1	l1-1	259	netdev://[00:00:00:00:00:07]	InNacks	0	0	0	0
1	l1-1	259	netdev://[00:00:00:00:00:07]	OutNacks	0	0	0	0
1	l1-1	259	netdev://[00:00:00:00:00:07]	InSatisfiedInterests	15.2	0	19	0
1	l1-1	259	netdev://[00:00:00:00:00:07]	InTimedOutInterests	0	0	0	0
1	l1-1	259	netdev://[00:00:00:00:00:07]	OutSatisfiedInterests	0	0	0	0
1	l1-1	259	netdev://[00:00:00:00:00:07]	OutTimedOutInterests	0	0	0	0
1	l1-1	-1	all	SatisfiedInterests	168.8	0	211	0
1	l1-1	-1	all	TimedOutInterests	0	0	0	0
1	l1-2	1	internal://	InInterests	0	0	0	0
1	l1-2	1	internal://	OutInterests	0	0	0	0
1	l1-2	1	internal://	InData	0	0	0	0
1	l1-2	1	internal://	OutData	0	0	0	0
1	l1-2	1	internal://	InNacks	0	0	0	0
1	l1-2	1	internal://	OutNacks	0	0	0	0
1	l1-2	1	internal://	InSatisfiedInterests	0	0	0	0
1	l1-2	1	internal://	InTimedOutInterests	0	0	0	0
1	l1-2	1	internal://	OutSatisfiedInterests	0.8	0	1	0
1	l1-2	1	internal://	OutTimedOutInterests	0	0	0	0
1	l1-2	2	internal://	InInterests	0	0	0	0
1	l1-2	2	internal://	OutInterests	0	0	0	0
1	l1-2	2	internal://	InData	0	0	0	0
