Time,Node,Type,Packets
1,root,CacheHits,0
1,root,CacheMisses,102
1,l1-1,CacheHits,100
1,l1-1,CacheMisses,101
1,l1-2,CacheHits,0
1,l1-2,CacheMisses,1
1,l2-1,CacheHits,100
1,l2-1,CacheMisses,101
1,l2-2,CacheHits,16
1,l2-2,CacheMisses,101
1,l2-3,CacheHits,0
1,l2-3,CacheMisses,1
1,l2-4,CacheHits,0
1,l2-4,CacheMisses,1
1,l3-1,CacheHits,104
1,l3-1,CacheMisses,101
1,l3-2,CacheHits,99
1,l3-2,CacheMisses,101
1,l3-3,CacheHits,96
1,l3-3,CacheMisses,101
1,l3-4,CacheHits,0
1,l3-4,CacheMisses,17
1,l3-5,CacheHits,0
1,l3-5,CacheMisses,1
1,l3-6,CacheHits,0
1,l3-6,CacheMisses,1
1,l3-7,CacheHits,0
1,l3-7,CacheMisses,1
1,l3-8,CacheHits,0
1,l3-8,CacheMisses,1
1,l4-1,CacheHits,96
1,l4-1,CacheMisses,101
1,l4-2,CacheHits,98
1,l4-2,CacheMisses,101
1,l4-3,CacheHits,100
1,l4-3,CacheMisses,101
1,l4-4,CacheHits,99
1,l4-4,CacheMisses,101
1,l4-5,CacheHits,94
1,l4-5,CacheMisses,101
1,l4-6,CacheHits,72
1,l4-6,CacheMisses,99
1,l4-7,CacheHits,0
1,l4-7,CacheMisses,18
1,l4-8,CacheHits,0
1,l4-8,CacheMisses,1
1,l4-9,CacheHits,0
1,l4-9,CacheMisses,1
1,l4-10,CacheHits,0
1,l4-10,CacheMisses,1
1,l4-11,CacheHits,0
1,l4-11,CacheMisses,1
1,l4-12,CacheHits,0
1,l4-12,CacheMisses,1
1,l4-13,CacheHits,0
1,l4-13,CacheMisses,1
1,l4-14,CacheHits,0
1,l4-14,CacheMisses,1
1,l4-15,CacheHits,0
1,l4-15,CacheMisses,1
1,l4-16,CacheHits,0
1,l4-16,CacheMisses,1
1,l5-1,CacheHits,91
1,l5-1,CacheMisses,101
1,l5-2,CacheHits,96
1,l5-2,CacheMisses,101
1,l5-3,CacheHits,95
1,l5-3,CacheMisses,101
1,l5-4,CacheHits,97
1,l5-4,CacheMisses,101
1,l5-5,CacheHits,93
1,l5-5,CacheMisses,101
1,l5-6,CacheHits,90
1,l5-6,CacheMisses,100
1,l5-7,CacheHits,90
1,l5-7,CacheMisses,100
1,l5-8,CacheHits,87
1,l5-8,CacheMisses,101
1,l5-9,CacheHits,83
1,l5-9,CacheMisses,100
1,l5-10,CacheHits,67
1,l5-10,CacheMisses,96
1,l5-11,CacheHits,57
1,l5-11,CacheMisses,96
1,l5-12,CacheHits,30
1,l5-12,CacheMisses,78
1,l5-13,CacheHits,1
1,l5-13,CacheMisses,18
1,l5-14,CacheHits,0
1,l5-14,CacheMisses,1
1,l5-15,CacheHits,0
1,l5-15,CacheMisses,1
1,l5-16,CacheHits,0
1,l5-16,CacheMisses,1
1,l5-17,CacheHits,0
1,l5-17,CacheMisses,1
1,l5-18,CacheHits,0
1,l5-18,CacheMisses,1
1,l5-19,CacheHits,0
1,l5-19,CacheMisses,1
1,l5-20,CacheHits,0
1,l5-20,CacheMisses,1
1,l5-21,CacheHits,0
1,l5-21,CacheMisses,1
1,l5-22,CacheHits,0
1,l5-22,CacheMisses,1
1,l5-23,CacheHits,0
1,l5-23,CacheMisses,1
1,l5-24,CacheHits,0
1,l5-24,CacheMisses,1
1,l5-25,CacheHits,0
1,l5-25,CacheMisses,1
1,l5-26,CacheHits,0
1,l5-26,CacheMisses,1
1,l5-27,CacheHits,0
1,l5-27,CacheMisses,1
1,l5-28,CacheHits,0
1,l5-28,CacheMisses,1
1,l5-29,CacheHits,0
1,l5-29,CacheMisses,1
1,l5-30,CacheHits,0
1,l5-30,CacheMisses,1
1,l5-31,CacheHits,0
1,l5-31,CacheMisses,1
1,l5-32,CacheHits,0
1,l5-32,CacheMisses,1
1,l6-1,CacheHits,89
1,l6-1,CacheMisses,101
1,l6-2,CacheHits,95
1,l6-2,CacheMisses,101
1,l6-3,CacheHits,87
1,l6-3,CacheMisses,100
1,l6-4,CacheHits,90
1,l6-4,CacheMisses,100
1,l6-5,CacheHits,86
1,l6-5,CacheMisses,101
1,l6-6,CacheHits,89
1,l6-6,CacheMisses,101
1,l6-7,CacheHits,81
1,l6-7,CacheMisses,100
1,l6-8,CacheHits,92
1,l6-8,CacheMisses,101
1,l6-9,CacheHits,77
1,l6-9,CacheMisses,101
1,l6-10,CacheHits,79
1,l6-10,CacheMisses,101
1,l6-11,CacheHits,75
1,l6-11,CacheMisses,97
1,l6-12,CacheHits,74
1,l6-12,CacheMisses,96
1,l6-13,CacheHits,70
1,l6-13,CacheMisses,99
1,l6-14,CacheHits,68
1,l6-14,CacheMisses,95
1,l6-15,CacheHits,67
1,l6-15,CacheMisses,98
1,l6-16,CacheHits,57
1,l6-16,CacheMisses,95
1,l6-17,CacheHits,63
1,l6-17,CacheMisses,95
1,l6-18,CacheHits,54
1,l6-18,CacheMisses,92
1,l6-19,CacheHits,47
1,l6-19,CacheMisses,86
1,l6-20,CacheHits,46
1,l6-20,CacheMisses,81
1,l6-21,CacheHits,29
1,l6-21,CacheMisses,80
1,l6-22,CacheHits,23
1,l6-22,CacheMisses,78
1,l6-23,CacheHits,24
1,l6-23,CacheMisses,66
1,l6-24,CacheHits,11
1,l6-24,CacheMisses,45
1,l6-25,CacheHits,4
1,l6-25,CacheMisses,18
1,l6-26,CacheHits,0
1,l6-26,CacheMisses,1
1,l6-27,CacheHits,0
1,l6-27,CacheMisses,1
1,l6-28,CacheHits,0
1,l6-28,CacheMisses,1
1,l6-29,CacheHits,0
1,l6-29,CacheMisses,1
1,l6-30,CacheHits,0
1,l6-30,CacheMisses,1
1,l6-31,CacheHits,0
1,l6-31,CacheMisses,1
1,l6-32,CacheHits,0
1,l6-32,CacheMisses,1
1,l6-33,CacheHits,0
1,l6-33,CacheMisses,1
1,l6-34,CacheHits,0
1,l6-34,CacheMisses,1
1,l6-35,CacheHits,0
1,l6-35,CacheMisses,1
1,l6-36,CacheHits,0
1,l6-36,CacheMisses,1
1,l6-37,CacheHits,0
1,l6-37,CacheMisses,1
1,l6-38,CacheHits,0
1,l6-38,CacheMisses,1
1,l6-39,CacheHits,0
1,l6-39,CacheMisses,1
1,l6-40,CacheHits,0
1,l6-40,CacheMisses,1
1,l6-41,CacheHits,0
1,l6-41,CacheMisses,1
1,l6-42,CacheHits,0
1,l6-42,CacheMisses,1
1,l6-43,CacheHits,0
1,l6-43,CacheMisses,1
1,l6-44,CacheHits,0
1,l6-44,CacheMisses,1
1,l6-45,CacheHits,0
1,l6-45,CacheMisses,1
1,l6-46,CacheHits,0
1,l6-46,CacheMisses,1
1,l6-47,CacheHits,0
1,l6-47,CacheMisses,1
1,l6-48,CacheHits,0
1,l6-48,CacheMisses,1
1,l6-49,CacheHits,0
1,l6-49,CacheMisses,1
1,l6-50,CacheHits,0
1,l6-50,CacheMisses,1
1,l6-51,CacheHits,0
1,l6-51,CacheMisses,1
1,l6-52,CacheHits,0
1,l6-52,CacheMisses,1
1,l6-53,CacheHits,0
1,l6-53,CacheMisses,1
1,l6-54,CacheHits,0
1,l6-54,CacheMisses,1
1,l6-55,CacheHits,0
1,l6-55,CacheMisses,1
1,l6-56,CacheHits,0
1,l6-56,CacheMisses,1
1,l6-57,CacheHits,0
1,l6-57,CacheMisses,1
1,l6-58,CacheHits,0
1,l6-58,CacheMisses,1
1,l6-59,CacheHits,0
1,l6-59,CacheMisses,1
1,l6-60,CacheHits,0
1,l6-60,CacheMisses,1
1,l6-61,CacheHits,0
1,l6-61,CacheMisses,1
1,l6-62,CacheHits,0
1,l6-62,CacheMisses,1
1,l6-63,CacheHits,0
1,l6-63,CacheMisses,1
1,l6-64,CacheHits,0
1,l6-64,CacheMisses,1
1,l7-1,CacheHits,75
1,l7-1,CacheMisses,99
1,l7-2,CacheHits,76
1,l7-2,CacheMisses,96
1,l7-3,CacheHits,70
1,l7-3,CacheMisses,99
1,l7-4,CacheHits,72
1,l7-4,CacheMisses,98
1,l7-5,CacheHits,71
1,l7-5,CacheMisses,96
1,l7-6,CacheHits,68
1,l7-6,CacheMisses,95
1,l7-7,CacheHits,68
1,l7-7,CacheMisses,97
1,l7-8,CacheHits,63
1,l7-8,CacheMisses,94
1,l7-9,CacheHits,65
1,l7-9,CacheMisses,96
1,l7-10,CacheHits,70
1,l7-10,CacheMisses,96
1,l7-11,CacheHits,69
1,l7-11,CacheMisses,96
1,l7-12,CacheHits,60
1,l7-12,CacheMisses,96
1,l7-13,CacheHits,64
1,l7-13,CacheMisses,95
1,l7-14,CacheHits,63
1,l7-14,CacheMisses,93
1,l7-15,CacheHits,53
1,l7-15,CacheMisses,95
1,l7-16,CacheHits,61
1,l7-16,CacheMisses,99
1,l7-17,CacheHits,52
1,l7-17,CacheMisses,90
1,l7-18,CacheHits,56
1,l7-18,CacheMisses,95
1,l7-19,CacheHits,50
1,l7-19,CacheMisses,90
1,l7-20,CacheHits,54
1,l7-20,CacheMisses,93
1,l7-21,CacheHits,46
1,l7-21,CacheMisses,91
1,l7-22,CacheHits,55
1,l7-22,CacheMisses,88
1,l7-23,CacheHits,49
1,l7-23,CacheMisses,91
1,l7-24,CacheHits,50
1,l7-24,CacheMisses,81
1,l7-25,CacheHits,40
1,l7-25,CacheMisses,88
1,l7-26,CacheHits,41
1,l7-26,CacheMisses,84
1,l7-27,CacheHits,49
1,l7-27,CacheMisses,86
1,l7-28,CacheHits,40
1,l7-28,CacheMisses,79
1,l7-29,CacheHits,34
1,l7-29,CacheMisses,87
1,l7-30,CacheHits,35
1,l7-30,CacheMisses,79
1,l7-31,CacheHits,38
1,l7-31,CacheMisses,74
1,l7-32,CacheHits,35
1,l7-32,CacheMisses,81
1,l7-33,CacheHits,28
1,l7-33,CacheMisses,78
1,l7-34,CacheHits,35
1,l7-34,CacheMisses,83
1,l7-35,CacheHits,31
1,l7-35,CacheMisses,83
1,l7-36,CacheHits,24
1,l7-36,CacheMisses,67
1,l7-37,CacheHits,17
1,l7-37,CacheMisses,65
1,l7-38,CacheHits,32
1,l7-38,CacheMisses,69
1,l7-39,CacheHits,22
1,l7-39,CacheMisses,65
1,l7-40,CacheHits,15
1,l7-40,CacheMisses,64
1,l7-41,CacheHits,17
1,l7-41,CacheMisses,58
1,l7-42,CacheHits,14
1,l7-42,CacheMisses,56
1,l7-43,CacheHits,13
